Date,Close,Volume,Vix Price,Pct Change
2021-09-08,125.40596008300781,6986200,17.959999084472656,-0.04409387452711799
2021-09-09,123.95813751220703,8905600,18.799999237060547,-1.1545085814441691
2021-09-10,122.82386779785156,10561600,20.950000762939453,-0.9150425596252343
2021-09-13,122.06768035888672,11676700,19.3700008392334,-0.615668153529747
2021-09-14,122.04923248291016,10436300,19.459999084472656,-0.015112825870311486
2021-09-15,122.84231567382812,10299900,18.18000030517578,0.6498059633673003
2021-09-16,122.52877044677734,10525700,18.690000534057617,-0.2552420355566354
2021-09-17,122.64865112304688,13541400,20.809999465942383,0.09783879804914353
2021-09-20,121.3687744140625,17245000,25.709999084472656,-1.0435310109528584
2021-09-21,121.55386352539062,11741800,24.360000610351562,0.15250142569345204
2021-09-22,121.75748443603516,11964100,20.8700008392334,0.16751496393365706
2021-09-23,122.63662719726562,10366500,18.6299991607666,0.7220441234496056
2021-09-24,122.13687133789062,6962600,17.75,-0.4075094617296715
2021-09-27,120.3971176147461,11631400,18.760000228881836,-1.4244295797716244
2021-09-28,118.33342742919922,17433400,23.25,-1.714069428265208
2021-09-29,119.26810455322266,11171400,22.559999465942383,0.7898673640486464
2021-09-30,117.80593872070312,21653100,23.139999389648438,-1.225948746311345
2021-10-01,117.83370208740234,23188900,21.100000381469727,0.02356703490562495
2021-10-04,116.03838348388672,27580700,22.959999084472656,-1.5236036649208917
2021-10-05,116.73243713378906,19151800,21.299999237060547,0.5981241974115648
2021-10-06,116.51960754394531,21322100,21.0,-0.1823225789416405
2021-10-07,118.0650405883789,15806400,19.540000915527344,1.3263287415817393
2021-10-08,117.47278594970703,9552300,18.770000457763672,-0.5016342142605157
2021-10-11,116.55659484863281,7843400,20.0,-0.7799177432179616
2021-10-12,115.99211120605469,13007200,19.850000381469727,-0.48430004609451016
2021-10-13,116.17719268798828,10609000,18.639999389648438,0.15956385310100796
2021-10-14,117.84294891357422,8857900,16.860000610351562,1.4338065734292416
2021-10-15,118.42594909667969,8976100,16.299999237060547,0.49472640364172094
2021-10-18,117.62081909179688,11660700,16.309999465942383,-0.6798594488996001
2021-10-19,119.16629791259766,9487000,15.699999809265137,1.313950058105462
2021-10-20,120.86905670166016,13665700,15.489999771118164,1.4288929159412156
2021-10-21,121.35954284667969,8267500,15.010000228881836,0.40579959702191637
2021-10-22,121.85000610351562,8009700,15.430000305175781,0.40414065950755695
2021-10-25,121.9980697631836,10629700,15.239999771118164,0.1215130506782014
2021-10-26,122.59960174560547,9271600,15.979999542236328,0.49306680309739725
2021-10-27,121.62791442871094,11851400,16.979999542236328,-0.7925697172416424
2021-10-28,122.64584350585938,9282500,16.530000686645508,0.8369206048871813
2021-10-29,123.83963775634766,15415100,16.260000228881836,0.9733670676179473
2021-11-01,123.69160461425781,14356700,16.40999984741211,-0.11953615560560404
2021-11-02,124.46894836425781,20851500,16.030000686645508,0.6284531213126554
2021-11-03,125.20001220703125,14610000,15.100000381469727,0.5873463641983934
2021-11-04,124.33937072753906,15818500,15.4399995803833,-0.6874132552551426
2021-11-05,122.9512710571289,14867300,16.479999542236328,-1.1163798419503435
2021-11-08,123.6823501586914,8948800,17.219999313354492,0.5946088196378208
2021-11-09,123.2288818359375,7287000,17.780000686645508,-0.3666394778010562
2021-11-10,123.58053588867188,8445400,18.729999542236328,0.285366585734792
2021-11-11,123.21961212158203,8597300,17.65999984741211,-0.29205551221673787
2021-11-12,123.83041381835938,8317600,16.290000915527344,0.49570168762960165
2021-11-15,123.06228637695312,6268900,16.489999771118164,-0.6203059633903663
2021-11-16,123.58053588867188,6150900,16.3700008392334,0.4211278101329041
2021-11-17,123.75637817382812,8229000,17.110000610351562,0.1422896282911923
2021-11-18,123.80266571044922,9029300,17.59000015258789,0.03740214226055638
2021-11-19,123.05304718017578,10166100,17.90999984741211,-0.6054946603707645
2021-11-22,122.49779510498047,11146200,19.170000076293945,-0.45122984592352866
2021-11-23,122.62735748291016,12075200,19.3799991607666,0.10576711019054663
2021-11-24,122.58109283447266,6760800,18.579999923706055,-0.037727836093959244
2021-11-26,122.12765502929688,11896900,28.6200008392334,-0.3699084375011097
2021-11-29,122.46078491210938,17137100,22.959999084472656,0.27277186541621035
2021-11-30,120.0546875,19467000,27.190000534057617,-1.9647901275794077
2021-12-01,119.84183502197266,22241400,31.1200008392334,-0.17729626594324976
2021-12-02,120.42487335205078,17531100,27.950000762939453,0.48650651082839946
2021-12-03,120.64696502685547,22111900,30.670000076293945,0.18442342401758793
2021-12-06,121.33175659179688,15230900,27.18000030517578,0.5675994955935959
2021-12-07,122.89571380615234,11974700,21.889999389648438,1.2889924767323535
2021-12-08,123.82112884521484,15144700,19.899999618530273,0.7530083925646025
2021-12-09,124.10804748535156,9095800,21.579999923706055,0.2317202587414524
2021-12-10,124.54297637939453,8554300,18.690000534057617,0.3504437486975265
2021-12-13,125.71826171875,12201800,20.309999465942383,0.9436785385433577
2021-12-14,125.20930480957031,11070800,21.889999389648438,-0.4048392828706948
2021-12-15,127.77272033691406,14996300,19.290000915527344,2.047304336720357
2021-12-16,128.53152465820312,19227500,20.56999969482422,0.5938703655116839
2021-12-17,127.6338882446289,21504200,21.56999969482422,-0.6983784063569254
2021-12-20,126.86097717285156,16185700,22.8700008392334,-0.6055688519775781
2021-12-21,127.39046478271484,10773400,21.010000228881836,0.41737626625864
2021-12-22,128.87686157226562,7246000,18.6299991607666,1.166803804418226
2021-12-23,129.40640258789062,7743800,17.959999084472656,0.41088913026336993
2021-12-27,130.77197265625,6968900,17.68000030517578,1.0552569587365612
2021-12-28,130.42820739746094,6065900,17.540000915527344,-0.2628738037719236
2021-12-29,131.17141723632812,7103600,16.950000762939453,0.5698229345454164
2021-12-30,131.44081115722656,7931700,17.329999923706055,0.205375474759939
2021-12-31,130.88345336914062,7882800,17.219999313354492,-0.42403708800856643
2022-01-03,129.5364227294922,15122300,16.600000381469727,-1.0291832962638137
2022-01-04,127.82711791992188,14304500,16.90999984741211,-1.319555360224678
2022-01-05,126.91670989990234,15370700,19.729999542236328,-0.7122182169434943
2022-01-06,125.44891357421875,15182000,19.610000610351562,-1.1565036052709088
2022-01-07,124.80792999267578,9619400,18.760000228881836,-0.5109518793590451
2022-01-10,126.08991241455078,15589900,19.399999618530273,1.0271642370402567
2022-01-11,127.09317779541016,12168300,18.40999984741211,0.7956745798671783
2022-01-12,126.73090362548828,10831800,17.6200008392334,-0.28504611829366366
2022-01-13,124.7614974975586,13804900,20.309999465942383,-1.5540062223099338
2022-01-14,124.5478286743164,14341800,19.190000534057617,-0.17126182959319447
2022-01-18,122.80136108398438,16471400,22.790000915527344,-1.4022465176000143
2022-01-19,122.29969024658203,14639600,23.850000381469727,-0.4085222125992938
