Date,Real Price,Predicted Price,Real Trend,Predicted Trend
2024-03-21 04:00:00,91.41336822509766,82.00523167967185,1.0,1.0
2024-03-22 04:00:00,94.2667007446289,82.85272775715566,1.0,1.0
2024-03-25 04:00:00,94.97952270507812,84.2293296171465,1.0,1.0
2024-03-26 04:00:00,92.53910064697266,85.81679285386235,-1.0,1.0
2024-03-27 04:00:00,90.22864532470703,86.8102296164052,-1.0,1.0
2024-03-28 04:00:00,90.33462524414062,86.75499768361442,1.0,-1.0
2024-04-01 04:00:00,90.34162139892578,86.00650029734788,1.0,-1.0
2024-04-02 04:00:00,89.43083953857422,85.07103303542681,-1.0,-1.0
2024-04-03 04:00:00,88.94295501708984,84.1863867035845,-1.0,-1.0
2024-04-04 04:00:00,85.88467407226562,83.48872741083142,-1.0,-1.0
2024-04-05 04:00:00,87.9871826171875,82.6439259925919,1.0,-1.0
2024-04-08 04:00:00,87.11238861083984,82.11249456468613,-1.0,-1.0
2024-04-09 04:00:00,85.33380126953125,81.90008847884019,-1.0,-1.0
2024-04-10 04:00:00,87.0184097290039,81.69016250930508,1.0,-1.0
2024-04-11 04:00:00,90.59455871582031,81.71019223757321,1.0,1.0
2024-04-12 04:00:00,88.1651382446289,82.47262633279752,-1.0,1.0
2024-04-15 04:00:00,85.98065185546875,83.32580350715943,-1.0,1.0
2024-04-16 04:00:00,87.39432525634766,83.5873055978991,1.0,1.0
2024-04-17 04:00:00,84.01512145996094,83.4851831615706,-1.0,-1.0
2024-04-18 04:00:00,84.65096282958984,82.75311976400735,1.0,-1.0
2024-04-19 04:00:00,76.18197631835938,81.7790347740629,-1.0,-1.0
2024-04-22 04:00:00,79.49919128417969,79.71252291207566,1.0,-1.0
2024-04-23 04:00:00,82.40350341796875,77.57043186548799,1.0,-1.0
2024-04-24 04:00:00,79.65815734863281,76.46668999913436,-1.0,-1.0
2024-04-25 04:00:00,82.61245727539062,76.1149726048734,1.0,-1.0
2024-04-26 04:00:00,87.71424102783203,76.62704796932212,1.0,1.0
2024-04-29 04:00:00,87.73624420166016,78.3750965917352,1.0,1.0
2024-04-30 04:00:00,86.38156127929688,80.66106871122065,-1.0,1.0
2024-05-01 04:00:00,83.02135467529297,82.4472759397795,-1.0,1.0
2024-05-02 04:00:00,85.79669952392578,82.85156922531496,1.0,1.0
2024-05-03 04:00:00,88.76799774169922,82.51455660371357,1.0,-1.0
2024-05-06 04:00:00,92.11820220947266,82.34705864470016,1.0,-1.0
2024-05-07 04:00:00,90.53257751464844,82.97534333448857,-1.0,1.0
2024-05-08 04:00:00,90.39061737060547,83.8340900434032,-1.0,1.0
2024-05-09 04:00:00,88.72601318359375,84.4663823951887,-1.0,1.0
2024-05-10 04:00:00,89.85672760009766,84.48142614568314,1.0,1.0
2024-05-13 04:00:00,90.37762451171875,84.18806013846552,1.0,-1.0
2024-05-14 04:00:00,91.33438873291016,83.91291311715759,1.0,-1.0
2024-05-15 04:00:00,94.60761260986328,83.91335078474185,1.0,1.0
2024-05-16 04:00:00,94.33667755126953,84.62012386130846,-1.0,1.0
2024-05-17 04:00:00,92.45711517333984,85.68401652320063,-1.0,1.0
2024-05-20 04:00:00,94.75758361816406,86.39764639192072,1.0,1.0
2024-05-21 04:00:00,95.36344146728516,86.9475885841257,1.0,1.0
2024-05-22 04:00:00,94.92754364013672,87.44292530890561,-1.0,1.0
2024-05-23 04:00:00,103.77445220947266,87.77110734336566,1.0,1.0
2024-05-24 04:00:00,106.44381713867188,89.20959196708463,1.0,1.0
2024-05-28 04:00:00,113.87406158447266,91.69755196756705,1.0,1.0
2024-05-29 04:00:00,114.79783630371094,95.33170329921813,1.0,1.0
2024-05-30 04:00:00,110.4738540649414,98.95654346755691,-1.0,1.0
2024-05-31 04:00:00,109.60707092285156,100.89075957505338,-1.0,1.0
2024-06-03 04:00:00,114.9728012084961,100.99732734096324,1.0,1.0
2024-06-04 04:00:00,116.40945434570312,100.77415119985744,1.0,-1.0
2024-06-05 04:00:00,122.4110336303711,100.87092722628404,1.0,1.0
2024-06-06 04:00:00,120.96937561035156,102.13201917089827,-1.0,1.0
2024-06-07 04:00:00,120.85940551757812,103.70593187593659,-1.0,1.0
2024-06-10 04:00:00,121.76119232177734,104.95108757145317,1.0,1.0
2024-06-11 04:00:00,120.89132690429688,105.79361483459797,-1.0,1.0
2024-06-12 04:00:00,125.18065643310547,106.12161665299391,1.0,1.0
2024-06-13 04:00:00,129.58998107910156,106.75693835099992,1.0,1.0
2024-06-14 04:00:00,131.85964965820312,108.26089289629454,1.0,1.0
2024-06-17 04:00:00,130.95977783203125,110.3570116830997,-1.0,1.0
2024-06-18 04:00:00,135.55906677246094,112.12019416403928,1.0,1.0
2024-06-20 04:00:00,130.75979614257812,113.85707368133626,-1.0,1.0
2024-06-21 04:00:00,126.55045318603516,114.49802498591635,-1.0,1.0
2024-06-24 04:00:00,118.09175872802734,113.63990474236743,-1.0,-1.0
2024-06-25 04:00:00,126.07051849365234,110.86579595894909,1.0,-1.0
2024-06-26 04:00:00,126.38048553466797,108.8375585562917,1.0,-1.0
2024-06-27 04:00:00,123.9708480834961,108.26086715114252,-1.0,-1.0
2024-06-28 04:00:00,123.52091979980469,108.49283955252031,-1.0,1.0
2024-07-01 04:00:00,124.28080749511719,109.0466606809623,1.0,1.0
2024-07-02 04:00:00,122.65105438232422,109.78681663797579,-1.0,1.0
2024-07-03 04:00:00,128.26019287109375,110.26934085876928,1.0,1.0
2024-07-05 04:00:00,125.8105697631836,111.33670053446622,-1.0,1.0
2024-07-08 04:00:00,128.18019104003906,112.25382008471752,1.0,1.0
2024-07-09 04:00:00,131.35972595214844,113.12118283784002,1.0,1.0
2024-07-10 04:00:00,134.88917541503906,114.23226636337677,1.0,1.0
2024-07-11 04:00:00,127.38033294677734,115.75149636553397,-1.0,1.0
2024-07-12 04:00:00,129.2200469970703,115.96081303313804,1.0,1.0
2024-07-15 04:00:00,128.420166015625,115.42427548341584,-1.0,-1.0
2024-07-16 04:00:00,126.34048461914062,114.53350180539383,-1.0,-1.0
2024-07-17 04:00:00,117.97177124023438,113.39718803088181,-1.0,-1.0
2024-07-18 04:00:00,121.0712890625,111.15195332360236,1.0,-1.0
2024-07-19 04:00:00,117.91178894042969,109.18127349913448,-1.0,-1.0
2024-07-22 04:00:00,123.52091979980469,107.62283363045754,1.0,-1.0
2024-07-23 04:00:00,122.5710678100586,107.62915835613603,-1.0,1.0
2024-07-24 04:00:00,114.23235321044922,108.64392926798246,-1.0,1.0
2024-07-25 04:00:00,112.26265716552734,108.66405339514131,-1.0,1.0
2024-07-26 04:00:00,113.04253387451172,107.53942791964437,1.0,-1.0
2024-07-29 04:00:00,111.57276153564453,106.14404926211682,-1.0,-1.0
2024-07-30 04:00:00,103.71398162841797,104.8529813788391,-1.0,-1.0
2024-07-31 04:00:00,117.00192260742188,102.78709598221758,1.0,-1.0
2024-08-01 04:00:00,109.1931381225586,102.59014556929833,-1.0,-1.0
2024-08-02 04:00:00,107.25342559814453,102.83985638041486,-1.0,1.0
2024-08-05 04:00:00,100.43448638916016,102.70367310796973,-1.0,-1.0
2024-08-06 04:00:00,104.23390197753906,101.18039253522875,1.0,-1.0
2024-08-07 04:00:00,98.89472961425781,99.54904239604366,-1.0,-1.0
2024-08-08 04:00:00,104.95378875732422,97.6322900833311,1.0,-1.0
2024-08-09 04:00:00,104.73382568359375,96.80211191143644,-1.0,-1.0
2024-08-12 04:00:00,109.00315856933594,97.02818867300266,1.0,1.0
2024-08-13 04:00:00,116.12206268310547,98.43261246060501,1.0,1.0
2024-08-14 04:00:00,118.061767578125,101.28024939817988,1.0,1.0
2024-08-15 04:00:00,122.84103393554688,104.57539714980703,1.0,1.0
2024-08-16 04:00:00,124.56076049804688,107.80303253113198,1.0,1.0
2024-08-19 04:00:00,129.97991943359375,110.29675086394855,1.0,1.0
2024-08-20 04:00:00,127.2303466796875,112.38167050962693,-1.0,1.0
2024-08-21 04:00:00,128.48016357421875,113.24427899134389,1.0,1.0
2024-08-22 04:00:00,123.72089385986328,113.18713333558662,-1.0,-1.0
2024-08-23 04:00:00,129.3500213623047,111.8678230205478,1.0,-1.0
2024-08-26 04:00:00,126.44046783447266,110.91040372567477,-1.0,-1.0
2024-08-27 04:00:00,128.2801971435547,110.17361180185799,1.0,-1.0
2024-08-28 04:00:00,125.59060668945312,110.03138700040654,-1.0,-1.0
2024-08-29 04:00:00,117.57183837890625,109.95962668002176,-1.0,-1.0
2024-08-30 04:00:00,119.35157012939453,108.7189763861079,1.0,-1.0
2024-09-03 04:00:00,107.98332214355469,107.27211600626651,-1.0,-1.0
2024-09-04 04:00:00,106.19359588623047,104.56521923304354,-1.0,-1.0
2024-09-05 04:00:00,107.19344329833984,101.36439313668416,1.0,-1.0
2024-09-06 04:00:00,102.81411743164062,98.95887769467299,-1.0,-1.0
2024-09-09 04:00:00,106.45355987548828,97.24938243740326,1.0,-1.0
2024-09-10 04:00:00,108.08330535888672,96.95141662969218,1.0,-1.0
2024-09-11 04:00:00,116.8919448852539,98.04570573439742,1.0,1.0
2024-09-12 04:00:00,119.13179016113281,101.1104000486157,1.0,1.0
2024-09-13 04:00:00,119.09178924560547,105.04094673370491,-1.0,1.0
2024-09-16 04:00:00,116.7719497680664,108.2591937162615,-1.0,1.0
2024-09-17 04:00:00,115.58203125,109.63889357621156,-1.0,1.0
2024-09-18 04:00:00,113.36219024658203,109.22604431848958,-1.0,-1.0
2024-09-19 04:00:00,117.86187744140625,107.45643413126345,1.0,-1.0
2024-09-20 04:00:00,115.99200439453125,105.9504457189596,-1.0,-1.0
2024-09-23 04:00:00,116.25199127197266,104.85009792181336,1.0,-1.0
2024-09-24 04:00:00,120.8616714477539,104.25271599616099,1.0,-1.0
2024-09-25 04:00:00,123.50149536132812,104.79415370648348,1.0,1.0
2024-09-26 04:00:00,124.03145599365234,106.38827635585403,1.0,1.0
2024-09-27 04:00:00,121.39163970947266,108.26830750007503,-1.0,1.0
2024-09-30 04:00:00,121.43163299560547,109.33389934200022,1.0,1.0
2024-10-01 04:00:00,116.99193572998047,109.53030910672715,-1.0,1.0
2024-10-02 04:00:00,118.84181213378906,108.50948808415706,1.0,-1.0
2024-10-03 04:00:00,122.84153747558594,107.25605103140879,1.0,-1.0
2024-10-04 04:00:00,124.91139221191406,106.93690554530622,1.0,-1.0
2024-10-07 04:00:00,127.7112045288086,107.75505214949226,1.0,1.0
2024-10-08 04:00:00,132.88084411621094,109.49119363909813,1.0,1.0
2024-10-09 04:00:00,132.64085388183594,112.07503716740393,-1.0,1.0
2024-10-10 04:00:00,134.8007049560547,114.42209395090504,1.0,1.0
2024-10-11 04:00:00,134.79071044921875,116.20590688032644,-1.0,1.0
2024-10-14 04:00:00,138.0605010986328,117.15761075145201,1.0,1.0
2024-10-15 04:00:00,131.5909423828125,117.84186540172232,-1.0,1.0
2024-10-16 04:00:00,135.7106475830078,117.25947573626036,1.0,-1.0
2024-10-17 04:00:00,136.92056274414062,116.61657638184442,1.0,-1.0
2024-10-18 04:00:00,137.99049377441406,116.44176679965858,1.0,-1.0
2024-10-21 04:00:00,143.70010375976562,116.83388262829067,1.0,1.0
2024-10-22 04:00:00,143.58010864257812,118.36351367186217,-1.0,1.0
2024-10-23 04:00:00,139.55038452148438,120.19238919902818,-1.0,1.0
2024-10-24 04:00:00,140.40032958984375,121.01613966463628,1.0,1.0
2024-10-25 04:00:00,141.53024291992188,121.10248032277923,1.0,1.0
2024-10-28 04:00:00,140.51031494140625,121.00264920498012,-1.0,-1.0
2024-10-29 04:00:00,141.24026489257812,120.77017048227935,1.0,-1.0
2024-10-30 04:00:00,139.3303985595703,120.6828686717945,-1.0,-1.0
2024-10-31 04:00:00,132.7508544921875,120.47876110661491,-1.0,-1.0
2024-11-01 04:00:00,135.3906707763672,119.27925156562196,1.0,-1.0
2024-11-04 05:00:00,136.04063415527344,118.206897330434,1.0,-1.0
2024-11-05 05:00:00,139.90036010742188,117.79178249933466,1.0,-1.0
2024-11-06 05:00:00,145.59996032714844,118.59061165779167,1.0,1.0
2024-11-07 05:00:00,148.8697509765625,120.84299493561412,1.0,1.0
2024-11-08 05:00:00,147.6198272705078,123.80080396038102,-1.0,1.0
2024-11-11 05:00:00,145.24998474121094,126.01627727193045,-1.0,1.0
2024-11-12 05:00:00,148.27976989746094,126.69745108567622,1.0,1.0
2024-11-13 05:00:00,146.25991821289062,126.72586515178409,-1.0,1.0
2024-11-14 05:00:00,146.7498779296875,126.12439832867858,1.0,-1.0
2024-11-15 05:00:00,141.97021484375,125.39797311940674,-1.0,-1.0
2024-11-18 05:00:00,140.1403350830078,124.10448519183956,-1.0,-1.0
2024-11-19 05:00:00,146.99986267089844,122.5500272400077,1.0,-1.0
2024-11-20 05:00:00,145.87994384765625,122.41326899250089,-1.0,-1.0
2024-11-21 05:00:00,146.65989685058594,123.16602291056734,1.0,1.0
2024-11-22 05:00:00,141.94021606445312,124.31571558241012,-1.0,1.0
2024-11-25 05:00:00,136.01063537597656,124.62936876941603,-1.0,1.0
2024-11-26 05:00:00,136.9105682373047,123.42586014814333,1.0,-1.0
2024-11-27 05:00:00,135.33067321777344,121.82440871216568,-1.0,-1.0
2024-11-29 05:00:00,138.240478515625,120.34298975660204,1.0,-1.0
2024-12-02 05:00:00,138.62045288085938,119.87928524193194,1.0,-1.0
2024-12-03 05:00:00,140.25033569335938,120.31035348556361,1.0,1.0
2024-12-04 05:00:00,145.1300048828125,121.38319687863986,1.0,1.0
2024-12-05 05:00:00,145.05999755859375,123.24456278764956,-1.0,1.0
2024-12-06 05:00:00,142.44000244140625,124.99866581164497,-1.0,1.0
2024-12-09 05:00:00,138.80999755859375,125.67718787473314,-1.0,1.0
2024-12-10 05:00:00,135.07000732421875,124.89814815645877,-1.0,-1.0
2024-12-11 05:00:00,139.30999755859375,122.88129011099227,1.0,-1.0
2024-12-12 05:00:00,137.33999633789062,121.35281759926147,-1.0,-1.0
2024-12-13 05:00:00,134.25,120.37654427139569,-1.0,-1.0
2024-12-16 05:00:00,132.0,119.5060234462926,-1.0,-1.0
2024-12-17 05:00:00,130.38999938964844,118.54482819579061,-1.0,-1.0
2024-12-18 05:00:00,128.91000366210938,117.55178619224534,-1.0,-1.0
2024-12-19 05:00:00,130.67999267578125,116.62399098562491,1.0,-1.0
2024-12-20 05:00:00,134.6999969482422,116.30437350506872,1.0,-1.0
