Date,Close,Volume,EMA_20,EMA_50
2019-12-23 00:00:00-05:00,5.94557523727417,355060000,5.94557523727417,5.94557523727417
2019-12-24 00:00:00-05:00,5.940594673156738,138864000,5.945100897834415,5.945379921034271
2019-12-26 00:00:00-05:00,5.9547858238220215,182852000,5.946023271737997,5.945748779967124
2019-12-27 00:00:00-05:00,5.89702844619751,254644000,5.941357097876998,5.943838178642825
2019-12-30 00:00:00-05:00,5.783752918243408,258056000,5.926347176007132,5.937560325293829
2019-12-31 00:00:00-05:00,5.857942581176758,231004000,5.9198324526899535,5.93443806081865
2020-01-02 00:00:00-05:00,5.972711086273193,237536000,5.924868513031214,5.935938963777652
2020-01-03 00:00:00-05:00,5.877111434936523,205384000,5.920320219879339,5.933632001862313
2020-01-06 00:00:00-05:00,5.901758193969727,262636000,5.9185524078879475,5.932382048611624
2020-01-07 00:00:00-05:00,5.973208427429199,314856000,5.923757743082352,5.933983083075058
2020-01-08 00:00:00-05:00,5.984411716461182,277108000,5.929534311975574,5.935960676541181
2020-01-09 00:00:00-05:00,6.050136089324951,255112000,5.941020195532658,5.940438143709172
2020-01-10 00:00:00-05:00,6.082499980926514,316296000,5.954494460808263,5.946009196149068
2020-01-13 00:00:00-05:00,6.273200988769531,319840000,5.984847463471241,5.958840246840066
2020-01-14 00:00:00-05:00,6.156190872192383,359088000,6.0011658833494455,5.966579487049961
2020-01-15 00:00:00-05:00,6.113620281219482,263104000,6.011875826003735,5.972345792703668
2020-01-16 00:00:00-05:00,6.197269439697266,284192000,6.0295323606412135,5.981166327879888
2020-01-17 00:00:00-05:00,6.2059831619262695,253792000,6.046337198858838,5.9899826743130795
2020-01-21 00:00:00-05:00,6.172623634338379,217916000,6.058364478428318,5.997145064902307
2020-01-22 00:00:00-05:00,6.226645469665527,239240000,6.074391239498529,6.006145080775375
2020-01-23 00:00:00-05:00,6.295108795166016,244516000,6.095411959085909,6.017476991143636
2020-01-24 00:00:00-05:00,6.235857963562012,373512000,6.108787769036014,6.026040950846317
2020-01-27 00:00:00-05:00,5.979931831359863,470536000,6.096515774971619,6.024232750082143
2020-01-28 00:00:00-05:00,6.173369884490967,310976000,6.103835213973461,6.030081265156999
2020-01-29 00:00:00-05:00,6.1128740310668945,258848000,6.104696053696645,6.03332804029072
2020-01-30 00:00:00-05:00,6.119594573974609,290504000,6.106114960389784,6.036711041611657
2020-01-31 00:00:00-05:00,5.886074066162109,370420000,6.085158684749054,6.030803709241086
2020-02-03 00:00:00-05:00,5.98316764831543,255564000,6.075445252707756,6.028935628420472
2020-02-04 00:00:00-05:00,6.152456283569336,271544000,6.082779636599335,6.033779575681212
2020-02-05 00:00:00-05:00,6.242828845977783,208220000,6.098022418444902,6.041977586281078
2020-02-06 00:00:00-05:00,6.329714775085449,218284000,6.120088357172573,6.0532613976067395
2020-02-07 00:00:00-05:00,6.263492107391357,189752000,6.13374585719341,6.061505739166921
2020-02-10 00:00:00-05:00,6.546804904937744,529608000,6.173084814121442,6.080537079001071
2020-02-11 00:00:00-05:00,6.669290065765381,638556000,6.22034245713515,6.103625431423201
2020-02-12 00:00:00-05:00,6.785055160522461,374644000,6.274124619362513,6.130348165897682
2020-02-13 00:00:00-05:00,6.741238117218018,528016000,6.3186116191582755,6.154304634576911
2020-02-14 00:00:00-05:00,7.214504718780518,1041924000,6.403934771503251,6.1958811084672485
2020-02-18 00:00:00-05:00,7.383298397064209,620164000,6.4972074977471515,6.242446492333796
2020-02-19 00:00:00-05:00,7.834654331207275,694332000,6.624583386648116,6.304886015426874
2020-02-20 00:00:00-05:00,7.685280799865723,810052000,6.725602187906936,6.359019144228397
2020-02-21 00:00:00-05:00,7.321059226989746,768180000,6.782312382105299,6.39674620629747
2020-02-24 00:00:00-05:00,6.803478717803955,856916000,6.784328223600409,6.412696500866352
2020-02-25 00:00:00-05:00,6.523900508880615,1055496000,6.759525584103286,6.417057442357108
2020-02-26 00:00:00-05:00,6.6633148193359375,747732000,6.750362654125443,6.426714594395493
2020-02-27 00:00:00-05:00,6.2923970222473145,906416000,6.706746879660859,6.421447238624976
2020-02-28 00:00:00-05:00,6.727583885192871,1133252000,6.708731356378193,6.433452597313914
2020-03-02 00:00:00-05:00,6.886016368865967,890744000,6.725615643281791,6.451200196198308
2020-03-03 00:00:00-05:00,6.623457431793213,652792000,6.715886289806688,6.4579553819079125
2020-03-04 00:00:00-05:00,7.087291717529297,597408000,6.751258235304079,6.48263523820679
2020-03-05 00:00:00-05:00,6.807796955108643,540328000,6.756642875285467,6.4953866780852945
2020-03-06 00:00:00-05:00,6.627195835113525,515412000,6.744314585745282,6.500555664635422
2020-03-09 00:00:00-04:00,6.114037036895752,614160000,6.684288152521517,6.485398071390729
2020-03-10 00:00:00-04:00,6.503639221191406,580648000,6.667083492394839,6.486113410598599
2020-03-11 00:00:00-04:00,6.139695644378662,499964000,6.616856078298061,6.472528400158602
2020-03-12 00:00:00-04:00,5.3883957862854,816540000,6.49985986001114,6.430013395692987
2020-03-13 00:00:00-04:00,5.999450206756592,634836000,6.4522017977964214,6.413128564754305
2020-03-16 00:00:00-04:00,4.892426490783691,726972000,6.303651768557113,6.353493189304477
2020-03-17 00:00:00-04:00,5.412308216094971,833632000,6.218761906417861,6.31658397466881
2020-03-18 00:00:00-04:00,5.052351951599121,874268000,6.107675244054172,6.267006248273921
2020-03-19 00:00:00-04:00,5.30519437789917,765512000,6.031248494896553,6.229288135710205
2020-03-20 00:00:00-04:00,5.125339984893799,804636000,5.94497149394391,6.185996051364464
2020-03-23 00:00:00-04:00,5.298218250274658,643876000,5.88337594692779,6.151181235635452
2020-03-24 00:00:00-04:00,6.207202911376953,1101644000,5.914216610208663,6.153378164095903
2020-03-25 00:00:00-04:00,6.118523597717285,793432000,5.933674418542817,6.152011318355565
2020-03-26 00:00:00-04:00,6.40798282623291,696108000,5.978846647846636,6.162049416703696
2020-03-27 00:00:00-04:00,6.29563570022583,638828000,6.0090170337875115,6.167288094488878
2020-03-30 00:00:00-04:00,6.615986347198486,602252000,6.066823635064747,6.1848841043990594
2020-03-31 00:00:00-04:00,6.566413402557373,949960000,6.114403612921188,6.19984603766017
2020-04-01 00:00:00-04:00,6.0550007820129395,656912000,6.108746200453735,6.194165831556357
2020-04-02 00:00:00-04:00,6.363890647888184,675764000,6.133045671637968,6.200821706706625
2020-04-03 00:00:00-04:00,6.075925827026367,663212000,6.127605686436864,6.195923829072106
2020-04-06 00:00:00-04:00,6.685984134674072,727884000,6.180784586268979,6.215141880272183
2020-04-07 00:00:00-04:00,6.452571868896484,784520000,6.20666908937636,6.224452860218235
2020-04-08 00:00:00-04:00,6.649862289428711,542444000,6.248877965571823,6.241135582932372
2020-04-09 00:00:00-04:00,6.5502214431762695,525564000,6.277577344391294,6.2532565970595835
2020-04-13 00:00:00-04:00,6.722105026245117,398408000,6.319913314091658,6.27164280996882
2020-04-14 00:00:00-04:00,7.073342800140381,530948000,6.391668503239155,6.303082025269665
2020-04-15 00:00:00-04:00,6.995870113372803,366148000,6.449211513728074,6.330250185587436
2020-04-16 00:00:00-04:00,7.341131210327148,745620000,6.53415624673751,6.3698925787144836
2020-04-17 00:00:00-04:00,7.281844139099121,539120000,6.605364617438616,6.405655385004077
2020-04-20 00:00:00-04:00,7.150566101074219,449388000,6.657288568261054,6.434867569948004
2020-04-21 00:00:00-04:00,6.7136359214782715,735160000,6.662654982853169,6.445799662164878
2020-04-22 00:00:00-04:00,7.128145217895508,483356000,6.706987386190535,6.472558311409216
2020-04-23 00:00:00-04:00,7.074838161468506,424160000,6.742020793359866,6.4961771290586
2020-04-24 00:00:00-04:00,7.21383810043335,352328000,6.786955774985912,6.524320696563492
2020-04-27 00:00:00-04:00,7.400417804718018,479388000,6.845380730198493,6.558677445902885
2020-04-28 00:00:00-04:00,7.257928848266602,442904000,6.884671027157361,6.586099069524991
2020-04-29 00:00:00-04:00,7.434794902801514,379160000,6.937063777218708,6.619381259065247
2020-04-30 00:00:00-04:00,7.28084659576416,375916000,6.9698049980325605,6.645321076190695
2020-05-01 00:00:00-04:00,7.0441975593566895,342096000,6.9768900038729535,6.660963291216812
2020-05-04 00:00:00-04:00,7.256185054779053,317556000,7.003489532530677,6.68430532116043
2020-05-05 00:00:00-04:00,7.3172173500061035,368896000,7.033368372290242,6.709125400723005
2020-05-06 00:00:00-04:00,7.41810417175293,323464000,7.070009877000974,6.736928489783002
2020-05-07 00:00:00-04:00,7.594470977783203,373732000,7.119958553265948,6.770557606959481
2020-05-08 00:00:00-04:00,7.784538745880127,339216000,7.183251904943489,6.810321573191663
2020-05-11 00:00:00-04:00,8.036632537841797,469060000,7.264526250933804,6.8584121992563745
2020-05-12 00:00:00-04:00,7.774573802947998,493060000,7.313102208268489,6.894340105283497
2020-05-13 00:00:00-04:00,7.752154350280762,625852000,7.354916697983944,6.927979879597116
2020-05-14 00:00:00-04:00,8.001757621765137,602312000,7.416520595486914,6.970088810662529
2020-05-15 00:00:00-04:00,8.460360527038574,987660000,7.515933922301358,7.0285308387557075
2020-05-18 00:00:00-04:00,8.71893310546875,774460000,7.630505273079205,7.094821123724847
2020-05-19 00:00:00-04:00,8.7739839553833,717320000,7.739408004727214,7.1606706465349825
2020-05-20 00:00:00-04:00,8.93789291381836,587536000,7.853549424640657,7.23036563740884
2020-05-21 00:00:00-04:00,8.743842124938965,761068000,7.938339205621448,7.289717656527669
2020-05-22 00:00:00-04:00,8.993945121765137,1038764000,8.038873102397037,7.356550106144825
2020-05-26 00:00:00-04:00,8.686548233032227,770780000,8.100556448171817,7.408706895434527
2020-05-27 00:00:00-04:00,8.494736671447754,1175892000,8.138097421817145,7.451296298415438
2020-05-28 00:00:00-04:00,8.456622123718262,734896000,8.16843310771249,7.490720840584177
2020-05-29 00:00:00-04:00,8.843732833862305,745256000,8.232747367345805,7.543780134438221
2020-06-01 00:00:00-04:00,8.774730682373047,389876000,8.284364825919829,7.59205270494547
2020-06-02 00:00:00-04:00,8.79366397857666,391320000,8.332869507125242,7.639174715676105
2020-06-03 00:00:00-04:00,8.738112449645996,365440000,8.371464073079599,7.682270313086689
2020-06-04 00:00:00-04:00,8.739110946655273,424280000,8.406478061039186,7.723715043814869
2020-06-05 00:00:00-04:00,8.892132759094238,481748000,8.452730889425382,7.769535346374845
2020-06-08 00:00:00-04:00,8.777490615844727,387736000,8.483660387179606,7.809063004001115
2020-06-09 00:00:00-04:00,9.017735481262207,468488000,8.534524681854139,7.856461924678021
2020-06-10 00:00:00-04:00,9.337484359741211,632180000,8.610997032129099,7.914541235856969
2020-06-11 00:00:00-04:00,8.768768310546875,583652000,8.626022868168887,7.948040336825201
2020-06-12 00:00:00-04:00,8.904592514038086,570908000,8.65255331063262,7.985552186911981
2020-06-15 00:00:00-04:00,9.145086288452148,400004000,8.699461213282099,8.031024112462577
2020-06-16 00:00:00-04:00,9.04016399383545,535716000,8.731909097144323,8.07059822545759
2020-06-17 00:00:00-04:00,9.20714282989502,408304000,8.777169452644388,8.115168602102196
2020-06-18 00:00:00-04:00,9.189197540283203,254408000,8.816410222895705,8.157287383991648
2020-06-19 00:00:00-04:00,9.232314109802246,524160000,8.856020116886803,8.19944529480775
2020-06-22 00:00:00-04:00,9.496986389160156,398468000,8.91706452376998,8.250329259292158
2020-06-23 00:00:00-04:00,9.420473098754883,375108000,8.965008197578067,8.296217252996579
2020-06-24 00:00:00-04:00,9.206646919250488,449372000,8.988021409165917,8.3319203771634
2020-06-25 00:00:00-04:00,9.460350036621094,376072000,9.033005087971173,8.376172520671545
2020-06-26 00:00:00-04:00,9.126395225524902,592084000,9.041899386785813,8.405593018901088
2020-06-29 00:00:00-04:00,9.171256065368652,342248000,9.05421907046037,8.435619020723346
2020-06-30 00:00:00-04:00,9.468073844909668,367892000,9.093633810884112,8.47610744520124
2020-07-01 00:00:00-04:00,9.500224113464355,326648000,9.132356696844136,8.516268883172343
2020-07-02 00:00:00-04:00,9.582219123840332,364056000,9.17520073751044,8.558070853394616
2020-07-06 00:00:00-04:00,9.808507919311523,315892000,9.235515707205781,8.607107601077633
2020-07-07 00:00:00-04:00,9.840907096862793,357800000,9.29317203003026,8.655491895029993
2020-07-08 00:00:00-04:00,10.184081077575684,365480000,9.378020510748872,8.715436568855313
2020-07-09 00:00:00-04:00,10.476164817810059,494548000,9.482605682849938,8.78448473548099
2020-07-10 00:00:00-04:00,10.44650936126709,497676000,9.57440603317538,8.849662171786328
2020-07-13 00:00:00-04:00,10.020844459533691,457076000,9.616923978542838,8.895590888952892
2020-07-14 00:00:00-04:00,10.344578742980957,542676000,9.686224432298848,8.952413942052033
2020-07-15 00:00:00-04:00,10.195293426513672,403984000,9.73470719365264,9.001154313991705
2020-07-16 00:00:00-04:00,10.1030855178833,344964000,9.76979084357937,9.04436730237961
2020-07-17 00:00:00-04:00,10.16962718963623,266284000,9.807870495584785,9.088495141095557
2020-07-20 00:00:00-04:00,10.477911949157715,284852000,9.871683967353636,9.142982074745053
2020-07-21 00:00:00-04:00,10.296228408813477,277036000,9.912116771302193,9.18820742117911
2020-07-22 00:00:00-04:00,10.406133651733398,367292000,9.959165998009928,9.235969234142024
2020-07-23 00:00:00-04:00,10.098100662231445,411660000,9.97239787079293,9.269778309753374
2020-07-24 00:00:00-04:00,10.16264820098877,473292000,9.9905169498592,9.304792815292016
2020-07-27 00:00:00-04:00,10.388938903808594,292132000,10.028461897854381,9.34730834817502
2020-07-28 00:00:00-04:00,10.183584213256836,271636000,10.043235451702234,9.380103480139013
2020-07-29 00:00:00-04:00,10.432801246643066,284508000,10.080336955982313,9.421385745492113
2020-07-30 00:00:00-04:00,10.580836296081543,308880000,10.128003559801288,9.466854394534836
2020-07-31 00:00:00-04:00,10.581584930419922,386080000,10.17120178557449,9.510569317510722
2020-08-03 00:00:00-04:00,10.975850105285645,412720000,10.247834958880315,9.56803130918817
2020-08-04 00:00:00-04:00,11.192669868469238,310336000,10.337819235984021,9.631742625238408
2020-08-05 00:00:00-04:00,11.251487731933594,249924000,10.424835283217314,9.695262041187238
2020-08-06 00:00:00-04:00,11.300084114074707,244316000,10.508192314727543,9.758196240124002
2020-08-07 00:00:00-04:00,11.164508819580078,342516000,10.570698648523022,9.81334575304385
2020-08-10 00:00:00-04:00,11.13011646270752,427796000,10.623976535588213,9.864983820089483
2020-08-11 00:00:00-04:00,10.816099166870117,354512000,10.642273929043633,9.902282461139704
2020-08-12 00:00:00-04:00,11.40450668334961,464412000,10.71486752469182,9.961193214951857
2020-08-13 00:00:00-04:00,11.407246589660645,374460000,10.780808388022185,10.017901190430633
2020-08-14 00:00:00-04:00,11.527871131896973,366436000,10.851957220772166,10.077115697939117
2020-08-17 00:00:00-04:00,12.298453330993652,621300000,10.989718755078973,10.164226977666747
2020-08-18 00:00:00-04:00,12.222442626953125,503448000,11.107121028590797,10.244941316854447
2020-08-19 00:00:00-04:00,12.100571632385254,622624000,11.201735371809317,10.317711133149773
2020-08-20 00:00:00-04:00,12.103065490722656,921388000,11.287576335515348,10.38772502952518
2020-08-21 00:00:00-04:00,12.643871307373047,999868000,11.416747285216081,10.476201354146665
2020-08-24 00:00:00-04:00,12.680506706237793,490564000,11.537105325313387,10.562644701287494
2020-08-25 00:00:00-04:00,12.710164070129395,289076000,11.648825205772054,10.646861147124431
2020-08-26 00:00:00-04:00,12.73309326171875,321244000,11.75208883014793,10.728674171226169
2020-08-27 00:00:00-04:00,12.58879280090332,317604000,11.831774922600824,10.801619999840959
2020-08-28 00:00:00-04:00,13.106670379638672,537160000,11.953193537556809,10.892014132382046
2020-08-31 00:00:00-04:00,13.332712173461914,500840000,12.084576264785866,10.987727781051845
2020-09-01 00:00:00-04:00,13.781941413879395,511316000,12.24623008850906,11.09730478626077
2020-09-02 00:00:00-04:00,14.305954933166504,874012000,12.442394359428818,11.223134203786485
2020-09-03 00:00:00-04:00,12.978714942932129,945128000,12.493472510238657,11.291980507282393
2020-09-04 00:00:00-04:00,12.586827278137207,1463684000,12.50236344051471,11.342758812021797
2020-09-08 00:00:00-04:00,11.879332542419434,795728000,12.443027164505637,11.363800919096215
